"bill_id","bill_title","year","state","final_raw","introduced_raw","final_html_code_type","final_text","introduced_text","final_amended_out","final_same_as_introduced","mime_type_final","filetype","url_text_final","file_name"
MEASURABLE OR OBSERVABLE GOALS TO DECREASE THE INCIDENCE OF CRIME, DISAGGREGATED BY THE TYPE OF CRIME;

DETAILS ON HOW THE APPLICANT HAS COLLABORATED WITH COMMUNITIES AND OTHER AGENCIES IN DEVELOPING THE IMPROVEMENTS TO BE FUNDED UNDER THE APPLICATION; AND

DETAILS ON HOW THE PLAN WOULD PREVENT THE DISPLACEMENT OF HOMELESS POPULATIONS AND HARM TO COMMUNITIES OF COLOR AND VULNERABLE POPULATIONS.

Prior to submitting grant applications to the department, local government agencies shall solicit feedback and consult with impacted communities, including but not limited to area residents and business owners; homeowners' associations; registered neighborhood organizations; and experts in environmental design, including urban and transportation planning professionals and architects with relevant experience in environmental design.

The executive director shall:

REVIEW RESPONSES TO REQUESTS FOR PROPOSALS TO IDENTIFY AREAS AROUND THE STATE WHERE CRIME IS MORE PREVALENT, SELECT LOCAL GOVERNMENTAL AGENCIES TO RECEIVE MONEY TO IDENTIFY SUCH AREAS, AND DETERMINE THE AMOUNT OF MONEY FOR EACH AGENCY;

DEVELOP AND DISTRIBUTE GUIDELINES THAT APPLICANTS MUST USE TO DEMONSTRATE:

Sufficient consultation and collaboration with the relevant impacted community where a project would take place;

Sufficient indication of community support for the projects included in the grant application; and

A sufficient plan to prevent the displacement of homeless populations and harms to communities of color and other vulnerable populations.

APPOINT MEMBERS OF THE CRIME PREVENTION THROUGH SAFER STREETS ADVISORY COMMITTEE ESTABLISHED PURSUANT TO SUBSECTION (6) OF THIS SECTION; AND

SELECT GRANT RECIPIENTS FOR THE GRANT PROGRAM AND DETERMINE THE AMOUNT OF EACH GRANT AFTER REVIEWING THE RECOMMENDATIONS OF THE COMMITTEE AND DETERMINING THAT EACH SELECTED APPLICANT HAS DEMONSTRATED:

Sufficient consultation and collaboration with the relevant impacted community where a project would take place;

Sufficient indication of community support for the projects included in the grant application; and

A sufficient plan to prevent the displacement of homeless populations and harms to communities of color and other vulnerable populations.

(a) THERE IS CREATED IN THE DEPARTMENT THE CRIME PREVENTION THROUGH SAFER STREETS ADVISORY COMMITTEE, REFERRED TO IN THIS SECTION AS THE ""COMMITTEE"". THE COMMITTEE CONSISTS OF THE

FOLLOWING ELEVEN PERSONS, WHO ARE APPOINTED BY THE EXECUTIVE DIRECTOR:

Two members of law enforcement;

Two elected local officials, one from an urban community and one from a rural community;

An expert in situational crime prevention;

Three persons from organizations representing community interests;

Anexpertwithabackgroundinurbanor transportation planning;

An architect with experience in crime prevention through environmental design; and

An expert in equity, diversity, and inclusivity in the law enforcement or public safety field.

MEMBERS OF THE COMMITTEE SERVE WITHOUT COMPENSATION AND WITHOUT REIMBURSEMENT FOR EXPENSES.

THE COMMITTEE SHALL REVIEW APPLICATIONS FOR GRANTS FOR SAFER STREETS AND MAKE RECOMMENDATIONS TO THE EXECUTIVE DIRECTOR FOR WHICH GRANTS TO APPROVE AND THE AMOUNT OF EACH GRANT. IN MAKING ITS RECOMMENDATIONS, THE COMMITTEE SHALL CONSIDER THE APPLICANT'S:

Plan to prevent:

The displacement of homeless populations; and

Harm to communities of color and vulnerable populations; and

MEASURABLE OR OBSERVABLE GOALS TO DECREASE THE INCIDENCE OF CRIME IN ACCORDANCE WITH SUBSECTION (3)(d) OF THIS

SECTION.

The general assembly shall appropriate ten million three hundred thousand dollars in fiscal year 2022-23 from the general fund for the grant program.

On or before June 30, 2024, each local governmental agency that receives a grant shall provide a final report to the department describing how the grant money was utilized and what measurable or observable impacts the use of the grant money had on reducing crime disaggregated by the type of crime and demographic information. On or before October 1, 2023, the department shall submit a summary of the reports to the judiciary committees of the house of representatives and senate, or to any successor committees.

This section is repealed, effective November 1, 2023.

SECTION 2. Appropriation. For the 2022-23 state fiscal year,
$10,300,000 is appropriated to the department of public safety for use by the division of criminal justice. This appropriation is from the general fund and is based on an assumption that the department will require an additional
2.0 FTE. To implement this act, the department may use this appropriation for DCJ administrative services.

SECTION 3. Safety clause. The general assembly hereby finds, determines, and declares that this act is necessary for the immediate preservation of the public peace, health, or safety.





14630232349834005048234983
Steve FenbergAlec Garnett
PRESIDENT OFSPEAKER OF THE HOUSE THE SENATEOF REPRESENTATIVES








14630231880374005048188037
Cindi L. MarkwellRobin Jones
SECRETARY OFCHIEF CLERK OF THE HOUSE THE SENATEOF REPRESENTATIVES




APPROVED
(Date and Time)





2697463241938
Jared S. Polis
GOVERNOR OF THE STATE OF COLORADO",NA,NA,NA,NA,"pdf","https://legiscan.com/CO/text/SB001/id/2581504","Colorado-2022-SB001-Enrolled.docx"
1710012,"GA S 189",NA,NA,NA,NA,NA,"Senate Bill 189
By: Senators Burns of the 23rd, Dolezal of the 27th, Brass of the 28th, Anavitarte of the 31st, Moore of the 53rd and others 
AS PASSED
A BILL TO BE ENTITLED
AN ACT
To amend Chapter 2 of Title 21 of the Official Code of Georgia Annotated, relating to 
